"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"IMMP1L",0.425615757487516,0.458192567567568,0.836189299926763,0.324,0.406,1
"COX16",0.426431807370722,0.536528716216216,0.551358970491624,0.257,0.188,1
"RPP38",0.426446534369649,0.536528716216216,0.629805203848301,0.257,0.188,1
"HTRA2",0.426691271009949,0.470228040540541,-0.2945699792669,0.122,0.188,1
"LSM6",0.426989862653849,0.455447635135135,0.293282037229208,0.405,0.531,1
"TMEM144",0.427174489948934,0.459037162162162,-0.81759708878376,0.311,0.375,1
"TBC1D9",0.427369236839336,0.543496621621622,0.442284391670225,0.432,0.344,1
"ALG6",0.428083715321061,0.467271959459459,-0.839595849654226,0.162,0.219,1
"FBXO30",0.428261360776306,0.539273648648649,1.45017014000409,0.311,0.25,1
"POLE4",0.429386503707073,0.545185810810811,1.55518464702181,0.459,0.531,1
"ZNF606L",0.429510133908912,0.469594594594595,-1.69930564117999,0.135,0.188,1
"SMCHD1",0.42971537301649,0.462204391891892,0.454404680263987,0.23,0.344,1
"FAM43A",0.429829097556965,0.528716216216216,1.2271863881351,0.149,0.094,1
"ASTN1",0.43006056909065,0.468116554054054,-0.320770388493108,0.149,0.219,1
"ZFYVE26",0.430112979327797,0.540329391891892,0.821573529991675,0.338,0.281,1
"MRM2",0.430114671200226,0.459670608108108,-0.403918879195714,0.297,0.375,1
"EME2",0.430252352666273,0.538217905405405,0.724843387320221,0.297,0.219,1
"RHOT1",0.430284959479284,0.456503378378378,0.64539322745267,0.365,0.531,1
"GOLGA1",0.430611608295236,0.461359797297297,-0.421327915051398,0.257,0.344,1
"CNTNAP2",0.430703124589307,0.539484797297297,1.86854914637232,0.311,0.281,1
"HACE1",0.430726004082627,0.539484797297297,2.99127301783758,0.311,0.281,1
"TRIM37",0.430774609047116,0.4609375,0.253308831727005,0.257,0.375,1
"EEF2KMT",0.431048980552713,0.535050675675676,0.892611134232704,0.243,0.156,1
"PIGC",0.432549099852139,0.459881756756757,-0.328943645555509,0.297,0.375,1
"ACTR5",0.433125129454258,0.531672297297297,0.712544122369777,0.189,0.125,1
"SEC24A",0.43329234889288,0.470650337837838,-0.428570654932537,0.122,0.188,1
"NINJ1",0.434299445085224,0.47339527027027,0.850470452023108,0.095,0.156,1
"CPD",0.434446709861133,0.534206081081081,0.293046974900233,0.23,0.156,1
"PTPMT1",0.434602472999078,0.467060810810811,-0.285248716171154,0.162,0.25,1
"PXK",0.434888177387281,0.452280405405405,-0.318579190309711,0.716,0.812,1
"XPO1",0.435127668465867,0.454180743243243,-0.729248606120922,0.527,0.594,1
"RFK",0.435138946496244,0.540962837837838,0.317719843980442,0.351,0.344,1
"CAP2",0.435462923460044,0.544974662162162,1.26979969392109,0.527,0.438,1
"AARS2",0.4357020900306,0.5390625,0.589530617732062,0.324,0.25,1
"DRC7",0.435966134625292,0.472550675675676,-1.42618815210347,0.108,0.156,1
"KIFC3",0.436037774557487,0.459459459459459,1.97111888001287,0.284,0.469,1
"TCERG1",0.436059880591141,0.455869932432432,-0.309221151647727,0.446,0.5,1
"CRADD",0.436664051430734,0.470861486486487,-0.275880727367926,0.122,0.188,1
"PPP1R2",0.436823570672014,0.454814189189189,-0.547798107913309,0.486,0.594,1
